season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2,,,,,,,,
2024/25,25th,Jan 19 2025,Chittagong Kings,121,8,Fortune Barishal,122,4,Dawid Malan,Fortune Barishal,field first,Fortune Barishal,ZACS,Chattogram,6,0,6 wickets,Sharfuddoula,Tanvir Ahmed,,,,,,,,
2024/25,26th,Jan 19 2025,Khulna Tigers,209,4,Durbar Rajshahi,202,4,Hasan Mahmud,Khulna Tigers,bat first,Khulna Tigers,ZACS,Chattogram,0,7,7 runs,Asif Yaqoob,Gazi Sohel,,,,,,,,
2024/25,27th,Jan 20 2025,Dhaka Capital,196,6,Sylhet Strikers,190,7,Thisara Perera,Dhaka Capital,bat first,Dhaka Capital,ZACS,Chattogram,0,6,6 runs,Muhammad Kamruzzaman,Morshed Ali Khan,,,,,,,,
2024/25,28th,Jan 20 2025,Chittagong Kings,191,8,Durbar Rajshahi,80,10,Naeem Islam,Durbar Rajshahi,field first,Chittagong Kings,ZACS,Chattogram,0,111,111 runs,Masudur Rahman,Gazi Sohel,,,,,,,,
2024/25,29th,Jan 21 2025,Chittagong Kings,148,6,Dhaka Capital,149,2,Tanzid Hasan,Chittagong Kings,bat first,Dhaka Capital,ZACS,Chattogram,8,0,8 wickets,Muhammad Kamruzzaman,Gazi Sohel,,,,,,,,
2024/25,30th,Jan 21 2025,Fortune Barishal,167,9,Khulna Tigers,160,6,Rishad Hossain,Khulna Tigers,field first,Fortune Barishal,ZACS,Chattogram,0,7,7 runs,Sharfuddoula,Morshed Ali Khan,,,,,,,,
2024/25,31st,Jan 23 2025,Durbar Rajshahi,170,9,Rangpur Riders,146,10,Ryan Burl,Rangpur Riders,field first,Durbar Rajshahi,ZACS,Chattogram,0,24,24 runs,Gazi Sohel,Tanvir Ahmed,,,,,,,,
2024/25,32nd,Jan 23 2025,Sylhet Strikers,152,9,Khulna Tigers,156,4,Mehidy Hasan Miraz,Sylhet Strikers,bat first,Khulna Tigers,ZACS,Chattogram,6,0,6 wickets,Masudur Rahman,Morshed Ali Khan,,,,,,,,
2024/25,33rd,Jan 26 2025,Sylhet Strikers,116,10,Fortune Barishal,120,2,Faheem Ashraf,Sylhet Strikers,bat first,Fortune Barishal,SBNCS,Mirpur,8,0,8 wickets,RR Wimalasiri,Tanvir Ahmed,,,,,,,,
2024/25,34th,Jan 26 2025,Durbar Rajshahi,119,9,Rangpur Riders,117,8,Mrittunjoy Chowdhury,Rangpur Riders,field first,Durbar Rajshahi,SBNCS,Mirpur,2,0,2 runs,Muhammad Kamruzzaman,Sharfuddoula,,,,,,,,
2024/25,35th,Jan 27 2025,Khulna Tigers,187,5,Fortune Barishal,188,5,Dawid Malan,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,0,5,5 wickets,Mahfuzur Rahman,Sharfuddoula,,,,,,,,
2024/25,36th,Jan 27 2025,Sylhet Strikers,117,9,Rangpur Riders,121,5,SM Meherob,Durbar Rajshahi,field first,Durbar Rajshahi,SBNCS,Mirpur,0,5,5 wickets,Asif Yaqoob,Sajedul Islam,,,,,,,,
