season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2023/24,29th,Feb 13 2024,Comilla Victorians ,239,3,Chattogram Challengers,166,10,Will Jacks,Chattogram Challengers,field first,Comilla Victorians,ZACS,Chattogram,0,73,73 runs,Deighton Butler,Masudur Rahman
2023/24,30th,Feb 13 2024,Rangpur Riders,219,5,Khulna Tigers,141,10,Imran Tahir,Rangpur Riders,bat first,Rangpur Riders,ZACS,Chattogram,0,78,78 runs,David Millns,Mahfuzur Rahman
2023/24,31th,Feb 14 2024,Fortune Barishal ,186,6,Durdanto Dhaka,159,8,Tamim Iqbal,Fortune Barishal ,bat first,Fortune Barishal ,ZACS,Chattogram,0,27,27 runs,David Millns,Gazi Sohel
2023/24,32nd,Feb 14 2024,Khulna Tigers,164,8,Comilla Victorians ,168,3,Towhid Hridoy,Khulna Tigers,bat first,Comilla Victorians ,ZACS,Chattogram,7,0,7 wickets,Deighton Butler,Tanvir Ahmed
2023/24,33rd,Feb 16 2024,Durdanto Dhaka,128,7,Khulna Tigers,131,5,Wayne Parnell,Durdanto Dhaka,bat first,Khulna Tigers,ZACS,Chattogram,5,0,5 wickets,David Millns,Masudur Rahman
2023/24,34th,Feb 16 2024,Rangpur Riders,187,8,Chattogram Challengers,169,6,Mahedi Hasan,Rangpur Riders,bat first,Rangpur Riders,ZACS,Chattogram,0,18,18 runs,Deighton Butler,Gazi Sohel
2023/24,35th,Feb 17 2024,Fortune Barishal,183,6,Sylhet Strikers,165,8,Kyle Mayers,Fortune Barishal ,bat first,Fortune Barishal ,ZACS,Chattogram,0,18,18 runs,Deighton Butler,Tanvir Ahmed
2023/24,36th,Feb 17 2024,Chattogram Challengers,159,6,Durdanto Dhaka,149,5,Tanzid Hasan,Chattogram Challengers,bat first,Chattogram Challengers,ZACS,Chattogram,0,10,10 runs,David Millns,Mahfuzur Rahman
2023/24,37th,Feb 19 2024,Sylhet Strikers,177,5,Comilla Victorians ,165,6,Benny Howell,Sylhet Strikers,bat first,Sylhet Strikers,ZACS,Chattogram,0,12,12 runs,Deighton Butler,Gazi Sohel
2023/24,38th,Feb 19 2024,Fortune Barishal ,151,9,Rangpur Riders,155,9,Abu Hider,Fortune Barishal ,bat first,Rangpur Riders,ZACS,Chattogram,1,0,1 wickets,David Millns,Tanvir Ahmed
2023/24,39th,Feb 20 2024,Chattogram Challengers,192,4,Khulna Tigers,127,10,Tanzid Hasan,Chattogram Challengers,bat first,Chattogram Challengers,ZACS,Chattogram,0,65,65 runs,David Millns,Morshed Ali Khan
2023/24,40th,Feb 20 2024,Rangpur Riders,150,10,Comilla Victorians ,151,4,Andre Russell,Comilla Victorians ,field first,Comilla Victorians,ZACS,Chattogram,6,0,6 wickets,Deighton Butler,Masudur Rahman
2023/24,41st,Feb 23 2024,Comilla Victorians,140,8,Fortune Barishal ,141,4,Tamim Iqbal,Fortune Barishal ,field first,Fortune Barishal ,SBNCS,Mirpur,6,0,6 wickets,Deighton Butler,Gazi Sohel
2023/24,42nd,Feb 23 2024,Khulna Tigers,128,8,Sylhet Strikers,130,4,Benny Howell,Sylhet Strikers,field first,Sylhet Strikers,SBNCS,Mirpur,6,0,6 wickets,David Millns,Tanvir Ahmed
2023/24,Eliminator,Feb 26 2024,Chattogram Challengers,135,9,Fortune Barishal ,136,3,Kyle Mayers,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,7,0,7 wickets,David Millns,Masudur Rahman
2023/24,Qualifier1,Feb 26 2024,Rangpur Riders,185,6,Comilla Victorians,186,4,Litton Das,Comilla Victorians,field first,Comilla Victorians,SBNCS,Mirpur,6,0,6 wickets,Deighton Butler,Sharfuddoula
2023/24,Qualifier2,Feb 28 2024,Rangpur Riders,149,7,Fortune Barishal ,152,4,Mushfiqur Rahim,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,6,0,6 wickets,Deighton Butler,Gazi Sohel
2023/24,Final,Mar 01 2024,Comilla Victorians ,154,6,Fortune Barishal ,157,4,Kyle Mayers,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,6,0,6 wickets,David Millns,Sharfuddoula
